,name,coauthors
0,Yoora Kim,Ness Shroff
3,Yoora Kim,Kyunghan Lee
6,Yoora Kim,Injong Rhee
9,Yoora Kim,Song Chong
12,Yoora Kim,Ganguk Hwang
15,Yoora Kim,Sungoh Kwon
18,Yoora Kim,Choi Bong Dae
21,Jeffrey Montez de Oca,Michael A. Messner
26,Jeffrey Montez de Oca,Stephen Cho Suh
31,Kendall Cotton Bronk,Jenni Menon Mariano
35,Kendall Cotton Bronk,Patrick L. Hill
39,Kendall Cotton Bronk,Susan A Mangan
43,Kendall Cotton Bronk,Tenelle Porter
47,Kendall Cotton Bronk,Matthew Joseph (Bundick)
51,Kendall Cotton Bronk,Matthew C. Andrews
55,Kendall Cotton Bronk,Daniel Lapsley
59,Kendall Cotton Bronk,G. John Geldhof
63,Kendall Cotton Bronk,Michelle B. Weiner
67,Kendall Cotton Bronk,Jennifer Agans
71,Kendall Cotton Bronk,Heather Malin
75,Kendall Cotton Bronk,Richard M. Lerner
79,Kendall Cotton Bronk,Megan Kiely Mueller
83,Kendall Cotton Bronk,Pamela Ebstyne King
87,Kendall Cotton Bronk,Sara K. Johnson
91,Kendall Cotton Bronk,Lawrence J. Walker
95,Brenden Jongman,Jeroen cjh Aerts
96,Brenden Jongman,Stefan Hochrainer-Stigler
97,Brenden Jongman,Paul Bates
98,Brenden Jongman,Elco Koks
99,Brenden Jongman,Rodrigo Rojas
100,Brenden Jongman,Heiko Apel
101,Brenden Jongman,Philip Ward
102,Kwon-Ho Lee,Man Sing Wong
107,Kwon-Ho Lee,Alexander Kokhanovsky
112,Kwon-Ho Lee,Maureen C. Cribb
117,Kwon-Ho Lee,Jin Sang Jung
122,Mark Safro,Olga Lavrik
125,Mark Safro,Tom L Blundell
128,Steve V Vollmer,Stephen R. Palumbi
131,Steve V Vollmer,Stefan T Kaluziak
134,Steve V Vollmer,david combosch
137,Steve V Vollmer,Nathaniel Chu
140,Steve V Vollmer,Geoffrey C Trussell
143,Steve V Vollmer,Sarah A Gignoux-Wolfsohn
146,Steve V Vollmer,Bette L. Willis
149,Steve V Vollmer,David Kline
152,Steve V Vollmer,Rebecca Certner
155,Steve V Vollmer,Silvia Libro
158,Steve V Vollmer,Madeleine JH van Oppen
161,Steve V Vollmer,Richard B. Aronson
164,Tyler J. Skluzacek,Ian T. Foster
168,Tyler J. Skluzacek,Kyle Chard
172,Tyler J. Skluzacek,Ryan Chard
176,Tyler J. Skluzacek,Zhuozhao Li
180,Tyler J. Skluzacek,Yadu Nand Babuji
184,Tyler J. Skluzacek,Ben Blaiszik
188,Tyler J. Skluzacek,Logan Ward
192,James Rocco,Ricardo Carrau
197,James Rocco,d deschler
202,James Rocco,Sidharth Puram, MD PhD
207,James Rocco,Dukagjin M. Blakaj
212,James Rocco,William Westra
217,James Rocco,Anuraag Parikh
222,James Rocco,Rebecca Hammon
227,James Rocco,David Sidransky
232,James Rocco,Itay Tirosh
237,James Rocco,Mark Varvares
242,James Rocco,Anthony C. Nichols, MD FRCSC
247,James Rocco,Justin A. Bishop, MD
252,James Rocco,Ezra Cohen
257,James Rocco,Peter Sadow
262,James Rocco,Krupal B Patel
267,James Rocco,Kevin Yizhe Zhan
272,James Rocco,Rosh Sethi
277,James Rocco,Guy Brock
282,James Rocco,Beth M. Beadle
287,James Rocco,Rebecca Chernock
292,James Rocco,Chee-Onn Leong
297,James Rocco,DeYoung MP
302,James Rocco,Bradley Bernstein
307,James Rocco,Shawn M. Gillespie
312,James Rocco,Keren Yizhak
317,James Rocco,nabil saba
322,James Rocco,Avraham Eisbruch
327,James Rocco,Bharat Yarlagadda
332,James Rocco,Linda N. Lee
337,James Rocco,daniel haber
342,James Rocco,Marlene L. Durand
347,James Rocco,Andrzej Niemierko
352,James Rocco,Kenneth N Ross
357,James Rocco,Sachin Jhawar
362,James Rocco,Matthew R. Ramsey
367,James Rocco,benjamin ory
372,James Rocco,Juliana Bonilla-Velez
377,James Rocco,conor steuer
382,James Rocco,Christine Chung
387,James Rocco,Aviad Tsherniak
392,James Rocco,Daniel Rosebrock
397,James Rocco,Ignaty Leshchiner
402,James Rocco,Dianne Finkelstein
407,James Rocco,Robert L. Ferris
412,James Rocco,Curtis Pickering
417,James Rocco,Robert Haddad, MD
422,James Rocco,Sonika Dahiya
427,James Rocco,Erick Morris
432,James Rocco,Anthony Letai
437,James Rocco,Patricia Greninger
442,James Rocco,Rui Wang
447,James Rocco,William Curry
452,James Rocco,Stacey T Gray
457,James Rocco,Eric Holbrook
462,James Rocco,Elliott Kozin, MD
467,James Rocco,Chip Stewart
472,James Rocco,D. Neil Hayes, MD, MPH, MS
477,James Rocco,Anushka Patel
482,Damien Jougnot,Niklas Linde
487,Damien Jougnot,Andre Revil
492,Damien Jougnot,Luis Guarracino
497,Damien Jougnot,Alexis Maineult
502,Damien Jougnot,Mariangeles Soldi
507,Damien Jougnot,Ahmad Ghorbani
512,Damien Jougnot,Philippe Cosenza
517,Damien Jougnot,Klaus Holliger
522,Damien Jougnot,Luong Duy Thanh
527,Damien Jougnot,Yves Méheust
532,Damien Jougnot,Stephan K. Matthai
537,Damien Jougnot,Shuai Li
542,Damien Jougnot,J. Germán Rubino
547,Damien Jougnot,Marina Rosas-Carbajal
552,Damien Jougnot,Claude Doussan
557,Damien Jougnot,Laurent Longuevergne
562,Damien Jougnot,Flore Rembert
567,Damien Jougnot,Myriam SCHMUTZ
572,Damien Jougnot,Ludovic Bodet
577,Damien Jougnot,Emily B. Voytek
582,Damien Jougnot,Majken Caroline Looms
587,Damien Jougnot,Azaroual
592,Damien Jougnot,Delphine Roubinet
597,Damien Jougnot,Stefan Finsterle
602,Damien Jougnot,Yuxin Wu
607,Damien Jougnot,Santiago G. Solazzi
612,Damien Jougnot,Tanguy Le Borgne
617,Damien Jougnot,Marine Dangeard
622,Damien Jougnot,Frank Heberling
627,Damien Jougnot,Daniel Brito
632,Damien Jougnot,Bordes Clarisse
637,Damien Jougnot,Dr. Tanvi ARORA
642,Damien Jougnot,Sylvain Pasquet
647,Damien Jougnot,COPEREY Antoine
652,Damien Jougnot,Joseph Doetsch
657,Damien Jougnot,Burke Minsley
662,Damien Jougnot,Jan Vinogradov
667,Damien Jougnot,Uddipta Ghosh
672,Damien Jougnot,Arnault Lassin
677,Damien Jougnot,Kamini Singha
682,Damien Jougnot,Holly Barnard
687,Damien Jougnot,Ning Lu
692,Damien Jougnot,Michael J. Heap
697,Damien Jougnot,Fátima Viveiros
702,Damien Jougnot,Hendra Grandis
707,Damien Jougnot,Niels Grobbe
712,Damien Jougnot,Catarina Silva
717,Damien Jougnot,Volker Rath
722,Damien Jougnot,Cédric Champollion
727,Damien Jougnot,Roger Guerin
732,Damien Jougnot,James Irving
737,Damien Jougnot,Vu Phi Tuyen
742,Damien Jougnot,Joaquin Jimenez-Martinez
747,Damien Jougnot,Carrière Simon Damien
752,Damien Jougnot,Nolwenn Lesparre
757,Damien Jougnot,qinghua huang
762,Damien Jougnot,Kaiyan Hu
767,Damien Jougnot,Beatriz Quintal
772,Damien Jougnot,David Vega-Maza
777,Damien Jougnot,Mohammad Sarmadivaleh
782,Damien Jougnot,Stefan Iglauer
787,Damien Jougnot,JJ Derksen
792,Damien Jougnot,Miftah Hidayat
797,Damien Jougnot,Hassan Rezaee, PhD
802,Damien Jougnot,Gregoire Mariethoz
807,Damien Jougnot,Marc DUMONT
812,Damien Jougnot,Fayçal Rejiba
817,Damien Jougnot,Feras ABDULSAMAD
822,Damien Jougnot,Beatrice Yven
827,Damien Jougnot,Hoa Xuan Vu (Vũ Xuân Hòa)
832,Damien Jougnot,albert olioso
837,Damien Jougnot,Chloé Ollivier
842,Damien Jougnot,Jacques Hinderer
847,Damien Jougnot,Nicolas K Martin-StPaul
852,Damien Jougnot,Linda Luquot
857,Damien Jougnot,Jolanta Lewandowska
862,Damien Jougnot,Aunay Bertrand
867,Damien Jougnot,Alexandre Pryet
872,Damien Jougnot,Laurent Michon
877,Damien Jougnot,Agnès Rivière
882,Damien Jougnot,Alain Tabbagh
887,Damien Jougnot,Pietro de Anna
892,Damien Jougnot,Aditya Bandopadhyay
897,Damien Jougnot,Philippe Davy
902,Damien Jougnot,Johannes Lützenkirchen
907,Damien Jougnot,JA (Sander) Huisman
912,Damien Jougnot,Christophe Tournassat
917,Damien Jougnot,Paolo Ruggeri
922,Damien Jougnot,Doç. Dr. Gonca Okay Ahi
927,Damien Jougnot,Ivan Lunati
932,Damien Jougnot,Jérôme Gaillardet
937,Damien Jougnot,Maréchal JC
942,Damien Jougnot,Konstantinos Chalikakis
947,Damien Jougnot,Nicolas Barbosa
952,Damien Jougnot,Adrien Selles
957,Damien Jougnot,Philippe A. Pezard
962,Damien Jougnot,Matthias Bücker
967,Damien Jougnot,Thomas Hermans
972,Damien Jougnot,herve tabuteau
977,Damien Jougnot,Jayabrata Dhar
982,Damien Jougnot,Neelarun Mukherjee
987,Damien Jougnot,Behzad Pouladi
992,Damien Jougnot,Philip Brunner
997,Damien Jougnot,Pascal Goderniaux
1002,Damien Jougnot,Frédéric Nguyen
1007,Damien Jougnot,Jan H. Fleckenstein
1012,Damien Jougnot,Álvaro Pardo-Álvarez
1017,Damien Jougnot,Nicolas Florsch
1022,Damien Jougnot,Leroy Philippe
1027,Damien Jougnot,Mohamad Abbas
1032,Damien Jougnot,Pham Minh Tan
1037,Damien Jougnot,cerepi
1042,You Han Bae,Han Chang Kang
1044,You Han Bae,Dongin (Donoven) Kim, PhD
1046,Myoung-Gyu Lee,Frederic Barlat
1047,Myoung-Gyu Lee,R. H. Wagoner
1048,Myoung-Gyu Lee,Jinwoo Lee
1049,Myoung-Gyu Lee,Daeyong Kim
1050,Myoung-Gyu Lee,Hyuk Jong Bong
1051,Myoung-Gyu Lee,Heung Nam Han
1052,Myoung-Gyu Lee,Jinjin Ha
1053,Myoung-Gyu Lee,Hojun Lim
1054,Myoung-Gyu Lee,Hariharan K
1055,Myoung-Gyu Lee,Gabriela Vincze
1056,Myoung-Gyu Lee,Shun-lai Zang / 臧顺来
1057,Myoung-Gyu Lee,Peter M Anderson
1058,Myoung-Gyu Lee,Erik J Pavlina
1059,Andreu Arenas,jean hindriks
1063,Andreu Arenas,Clément Malgouyres
1067,Cesar Zucco,David J. Samuels
1070,Cesar Zucco,Timothy J. Power
1073,Cesar Zucco,Daniela Campello
1076,Cesar Zucco,Fabiana Machado
1079,Cesar Zucco,Amy Erica Smith
1082,Cesar Zucco,Benjamin Lauderdale
1085,Cesar Zucco,Lucio Renno
